DateTime,Member ID,Message
CNN008,PC,v1.0.0
Member ID,23630,
Rotation,PC,
11/30/2018 11:20,23630,Began TV_Validation.mp4.
11/30/2018 11:21,23630,Began WelcomeWarningsBaseLineInstructions.mp4.
11/30/2018 11:22,23630,Began face_calibration_v4.mp4.
11/30/2018 11:23,23630,Began baselineinstruction4min.mp4.
11/30/2018 11:23,23630,Began zen4minbaseline.mp4.
11/30/2018 11:27,23630,Sent 255 signal to ADI.
11/30/2018 11:27,23630, selected Body found in search for missing North Carolina teen
11/30/2018 11:27,23630,Sent 255 signal to ADI.
11/30/2018 11:27,23630, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-11-29-2018\11-29-2018\assets\cnn_videos\Negative_5_2018-11-28_Body found in search for Hania Noelia Aguilar - CNN.mp4
11/30/2018 11:27,23630,Sent 2 signal to ADI.
11/30/2018 11:27,23630,Sent 2 signal to ADI.
11/30/2018 11:30,23630,Sent 255 signal to ADI.
11/30/2018 11:30,23630, selected Indian authorities struggle to retrieve US missionary feared killed on remote island
11/30/2018 11:30,23630,Sent 255 signal to ADI.
11/30/2018 11:30,23630, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-11-29-2018\11-29-2018\assets\test_ads\Netflix\Netflix_15.mp4
11/30/2018 11:30,23630,Sent 2 signal to ADI.
11/30/2018 11:30,23630,Sent 2 signal to ADI.
11/30/2018 11:37,23630,Started mid-session survey 1
11/30/2018 11:38,23630,Survey answers | boring/entertaining : boring_entertaining_7 unexciting/exciting : unexciting_exciting_7 negative/positive : negative_positive_7 political/nonpolitical : nonpolitical_political_1 
11/30/2018 11:38,23630,Survey answers | boring/entertaining : boring_entertaining_7 unexciting/exciting : unexciting_exciting_7 negative/positive : negative_positive_7 political/nonpolitical : nonpolitical_political_1 
11/30/2018 11:38,23630,Sent 255 signal to ADI.
11/30/2018 11:38,23630, selected undefined
11/30/2018 11:38,23630, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-11-29-2018\11-29-2018\assets\test_ads\Amazon\Amazon_15.mp4
11/30/2018 11:38,23630,Sent 255 signal to ADI.
11/30/2018 11:38,23630,Sent 2 signal to ADI.
11/30/2018 11:38,23630,Sent 2 signal to ADI.
11/30/2018 11:39,23630,Sent 255 signal to ADI.
11/30/2018 11:39,23630, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-11-29-2018\11-29-2018\assets\cnn_videos\California fires Bus driver from heaven Kevin McKay rescue.mp4
11/30/2018 11:39,23630,Sent 2 signal to ADI.
11/30/2018 11:43,23630,Sent 255 signal to ADI.
11/30/2018 11:43,23630, selected undefined
11/30/2018 11:43,23630,Sent 255 signal to ADI.
11/30/2018 11:43,23630, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-11-29-2018\11-29-2018\assets\cnn_videos\Shanghai luxury hotel opens in once-abandoned quarry.mp4
11/30/2018 11:43,23630,Sent 2 signal to ADI.
11/30/2018 11:43,23630,Sent 2 signal to ADI.
11/30/2018 11:45,23630,Started mid-session survey 2
11/30/2018 11:45,23630,Survey answers | boring/entertaining : boring_entertaining_5 unexciting/exciting : unexciting_exciting_5 negative/positive : negative_positive_7 political/nonpolitical : nonpolitical_political_1 
11/30/2018 11:46,23630,Survey answers | boring/entertaining : boring_entertaining_6 unexciting/exciting : unexciting_exciting_6 negative/positive : negative_positive_6 political/nonpolitical : nonpolitical_political_1 
11/30/2018 11:46,23630,Sent 255 signal to ADI.
11/30/2018 11:46,23630, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-11-29-2018\11-29-2018\assets\entertainment_clips\America_s Got Talent_Howie Mandel Is Always Playing Deal Or No Deal -  2018.mp4
11/30/2018 11:46,23630,Sent 2 signal to ADI.
11/30/2018 11:49,23630,Sent 255 signal to ADI.
11/30/2018 11:49,23630, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-11-29-2018\11-29-2018\assets\entertainment_clips\The Big Bang Theory - Devastated (S12E09).mp4
11/30/2018 11:49,23630,Sent 2 signal to ADI.
11/30/2018 11:50,23630,Started mid-session survey 3
11/30/2018 11:51,23630,Survey answers | boring/entertaining : boring_entertaining_5 unexciting/exciting : unexciting_exciting_5 negative/positive : negative_positive_4 political/nonpolitical : nonpolitical_political_1 
11/30/2018 11:51,23630,Survey answers | boring/entertaining : boring_entertaining_4 unexciting/exciting : unexciting_exciting_4 negative/positive : negative_positive_4 political/nonpolitical : nonpolitical_political_1 
11/30/2018 11:52,23630,Sent 255 signal to ADI.
11/30/2018 11:52,23630, selected US calls for release of young Americans trapped in China ahead of G20
11/30/2018 11:52,23630,Sent 2 signal to ADI.
11/30/2018 11:54,23630,Sent 255 signal to ADI.
11/30/2018 11:54,23630, selected undefined
11/30/2018 11:54,23630,Sent 255 signal to ADI.
11/30/2018 11:54,23630, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-11-29-2018\11-29-2018\assets\cnn_videos\Political_4_who-is-alexander-acosta.cnn_1232051_768x432_1300k.mp4
11/30/2018 11:54,23630,Sent 2 signal to ADI.
11/30/2018 11:54,23630,Sent 2 signal to ADI.
11/30/2018 11:55,23630,Sent 255 signal to ADI.
11/30/2018 11:55,23630, started viewing C:\Users\Neuroden\Desktop\CNN008_PC-11-29-2018\11-29-2018\assets\cnn_videos\Political_1_g20-summit-argentina-preview-trump-us-china-trade-war-matt-rivers-pkg-vpx.cnn_2358532_768x432_1300k.mp4
11/30/2018 11:55,23630,Sent 2 signal to ADI.
11/30/2018 11:55,23630,Started mid-session survey 4
11/30/2018 11:56,23630,Survey answers | boring/entertaining : boring_entertaining_6 unexciting/exciting : unexciting_exciting_6 negative/positive : negative_positive_4 political/nonpolitical : nonpolitical_political_2 
11/30/2018 11:56,23630,Survey answers | boring/entertaining : boring_entertaining_5 unexciting/exciting : unexciting_exciting_4 negative/positive : negative_positive_4 political/nonpolitical : nonpolitical_political_6 
11/30/2018 11:56,23630,Began TV_Validation.mp4.
11/30/2018 11:56,23630,Began EndInstructions.mp4.
